TICKER
SHOP
ZM
LYFT
UBER
TSM
PG
PYPL
NVS
ABT
CRM
CVX
PDD
FIS
CCI
D
FISV
CL
ATVI
ADSK
GPN
EW
TAL
BAX
DLR
MSFT
BIDU
MA
HD
UNH
ADBE
CAN
COST
DHR
NEE
LIN
BLK
SPGI
EL
GS
BKNG
ANTM
EQIX
CI
REGN
APD
NTES
CME
ITW
MCO
DE
ECL
ILMN
SHW
NOC
HUM
DG
AON
NSC
BIIB
CMG
IDXX
CTAS
KLAC
VRSK
SNPS
CLX
CO
CSGP
AZO
WLTW
ROK
MKC
ANSS
RNG
VRSN
PANW
ALGN
ARE
TDG
ODFL
FLT
MTD
WST
TTD
MKTX
LH
ANET
GWW
PAYC
AVGO
COO
ZBRA
NVR
FDS
ABMD
PODD
IEX
UI
ULTA
SPY
F
GE
AAL
UAL
LUV
DAL
DIS
AAPL
TSLA
CCL
RCL
NCLH
AMZN
GOOGL
BABA
FB
V
WMT
JPM
NVDA
NFLX
INTC
BAC
T
PFE
KO
XOM
VOO
NKE
AZN
WFC
BA
SNE
GILD
SBUX
AMD
BP
SQ
GM
SNAP
MRNA
TWTR
SIRI
NOK
PTON
ET
WORK
OXY
HAL
DKNG
NKLA
NIO
ZNGA
LYFT
NVAX
BYND
MGM
CGC
SPCE
GPS
PENN
MRO
USO
INO
NRZ
VSLR
JBLU
PLUG
SPHD
CRON
GNUS
FIT
UCO
SRNE
APHA
WKHS
SAVE
ACB
MFA
NYMT
TLRY
GPRO
VXRT
KOS
TXMD
FCEL
IVR
CRBP
CPE
CPRX
GUSH
AMC
PLAY
